Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Calisthenics duration (ms),Hiking duration (ms),Sleep duration (ms)
2018-07-03,1465.0104311445857,8737.583401203156,22.53705406188965,88.34037017822266,22.867372512817383,88.37602996826172,1.0453855086963362,11.1899995803833,0.017654145136475563,11947,,,,,65485675,13773313,,,
2018-07-04,1290.8214644851296,1592.795009613037,22.55415916442871,88.37438201904297,22.55560302734375,88.37619018554688,0.3672331767034717,0.7954910397529602,0.24714134633541107,3948,,,,,80094452,5779941,,,
2018-07-05,1422.0541348306438,6284.705184586346,22.540830612182617,88.3499755859375,22.563190460205078,88.37619018554688,0.9665062922035065,6.909999847412109,0.030709439888596535,8087,,,,,68513744,10850667,,,
2018-07-06,1462.7868681971563,4712.869019269943,22.53929901123047,88.36624908447266,22.595163345336914,88.42058563232422,0.9108586668318742,14.899999618530273,0.05033545568585396,7559,,,,,64818568,12126589,,,
2018-07-07,1319.222691821194,5887.667328417301,13.023762702941895,77.5858383178711,22.644025802612305,88.44743347167969,0.9682717963351096,13.25,0.0,6239,38.900001525878906,38.900001525878906,38.900001525878906,490030,68860958,6121448,,,
2018-07-08,1407.1173656271844,5630.6366298645735,12.913820266723633,77.5865478515625,13.043055534362793,77.70172119140625,0.7167709171873908,8.40999984741211,0.025331569835543633,7898,,,,,64051707,9324920,,,
2018-07-09,1358.2870271705108,4993.687775850296,12.933817863464355,77.60863494873047,12.936676025390625,77.6163558959961,0.6772125417529042,8.34000015258789,0.07900258898735046,8928,,,,,75710845,7759779,,,
2018-07-10,1408.9471068164612,6578.684417486191,12.933635711669922,77.61487579345703,12.939470291137695,77.62651824951172,0.6496196019155492,5.0,0.059612154960632324,8982,,,,,75287702,9579197,,,
2018-07-11,1321.7527761671688,4162.560818847269,12.933403015136719,77.61026763916016,12.935887336730957,77.61710357666016,0.7482686198418707,4.349999904632568,0.028310291469097137,6220,,,,,79725220,6416269,,,
2018-07-12,1286.7207157404641,2040.3730931151658,12.934186935424805,77.6151123046875,12.935461044311523,77.61630249023438,0.5114609824784776,4.114184856414795,0.11461226642131805,4518,,,,,80344878,5189206,,,
